COORDENAÇÃO DO CURSO DE CIÊNCIAS CONTÁBEIS/CCSO;892;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS DA COMPUTAÇÃO/CCET;982;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS ECONÔMICAS/CCSO;891;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS EXATAS;1385;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS IMOBILIÁRIA/CCSO;886;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS SOCIAIS/CCH;844;SÃO LUÍS
COORDENAÇÃO DO CURSO DE COMPUTAÇÃO (EAD)/NEAD;1403;SÃO LUÍS
COORDENAÇÃO DO CURSO DE COMUNICAÇÃO SOCIAL/CCSO;885;SÃO LUÍS
COORDENAÇÃO DO CURSO DE DESENHO INDUSTRIAL/CCET;987;SÃO LUÍS
COORDENAÇÃO DO CURSO DE DESIGN/CCET;1120;SÃO LUÍS
COORDENAÇÃO DO CURSO DE DIREITO/CCSO;883;SÃO LUÍS
COORDENAÇÃO DO CURSO DE EDUCAÇÃO ARTÍSTICA/CCH;845;SÃO LUÍS
COORDENAÇÃO DO CURSO DE EDUCAÇÃO FÍSICA;1386;SÃO LUÍS
COORDENAÇÃO DO CURSO DE EDUCAÇÃO FÍSICA PINHEIRO/CCHNST;1365;PINHEIRO
COORDENAÇÃO DO CURSO DE EDUCAÇÃO FÍSICA/CCBS;950;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ENFERMAGEM BACABAL/CAMPUS III;1344;BACABAL
COORDENAÇÃO DO CURSO DE ENFERMAGEM PINHEIRO/CCHNST;1347;PINHEIRO
COORDENAÇÃO DO CURSO DE ENFERMAGEM/CCBS;939;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ENFERMAGEM/CCSST;1012;IMPERATRIZ
COORDENAÇÃO DO CURSO DE ENGENHARIA AGRÍCOLA CHAPADINHA/CCAA;1349;CHAPADINHA
COORDENAÇÃO DO CURSO DE ENGENHARIA DA COMPUTAÇÃO CODÓ/CAMPUS VII;1350;CODÓ
COORDENAÇÃO DO CURSO DE ENGENHARIA DE PESCA PINHEIRO/CCHNST;1348;PINHEIRO
COORDENAÇÃO DO CURSO DE ENGENHARIA ELÉTRICA/CCET;984;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ENGENHARIA GEOLOGICA GRAJAÚ/CAMPUS VI;1346;GRAJAÚ
COORDENAÇÃO DO CURSO DE ENGENHARIA QUÍMICA CODÓ/CAMPUS VII;1351;CODÓ
COORDENAÇÃO DO CURSO DE ENGENHARIA QUÍMICA/CCET;996;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ESPECIALIZAÇÃO EM GESTÃO EM SAÚDE (EAD)/NEAD;1406;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ESPECIALIZAÇÃO EM GESTÃO PÚBLICA (EAD)/NEAD;1407;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ESPECIALIZAÇÃO EM GESTÃO PÚBLICA MUNICIPAL (EAD)/NEAD;1408;SÃO LUÍS
COORDENAÇÃO DO CURSO DE FARMÁCIA/CCBS;941;SÃO LUÍS
COORDENAÇÃO DO CURSO DE FILOSOFIA;1370;SÃO LUÍS
COORDENAÇÃO DO CURSO DE FILOSOFIA;1376;SÃO LUÍS
COORDENAÇÃO DO CURSO DE FILOSOFIA/CCH;838;SÃO LUÍS
COORDENAÇÃO DO CURSO DE FÍSICA (EAD)/NEAD;1404;SÃO LUÍS
COORDENAÇÃO DO CURSO DE FÍSICA/CCET;986;SÃO LUÍS
COORDENAÇÃO DO CURSO DE GEOGRAFIA;1387;SÃO LUÍS
COORDENAÇÃO DO CURSO DE GEOGRAFIA/CCH;840;SÃO LUÍS
COORDENAÇÃO DO CURSO DE HISTÓRIA;1379;GUIMARÃES
COORDENAÇÃO DO CURSO DE HISTÓRIA/CCH;843;SÃO LUÍS
COORDENAÇÃO DO CURSO DE HOTELARIA/CCSO;887;SÃO LUÍS
COORDENAÇÃO DO CURSO DE JORNALISMO/CCSST;1013;IMPERATRIZ
COORDENAÇÃO DO CURSO DE LETRAS;1405;SÃO LUÍS
COORDENAÇÃO DO CURSO DE LETRAS;1378;GUIMARÃES
COORDENAÇÃO DO CURSO DE LETRAS BACABAL/CAMPUS III;1364;BACABAL
COORDENAÇÃO DO CURSO DE LETRAS/CCH;839;SÃO LUÍS
COORDENAÇÃO DO CURSO DE LICENCIATURA EM INFORMÁTICA CODÓ/CAMPUS VII;992;CODÓ
COORDENAÇÃO DO CURSO DE LICENCIATURA EM TEATRO/CCH;852;SÃO LUÍS
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS HUMANAS BACABAL/CAMPUS III;1167;BACABAL
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS HUMANAS CODO/CAMPUS VII;1172;CODÓ
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS HUMANAS GRAJAU/CAMPUS VI;1171;GRAJAÚ
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS HUMANAS PINHEIRO/CCHNST;1169;PINHEIRO
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS HUMANAS SÃO BERNARDO/CSB;1173;SÃO BERNARDO
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS NATURAIS CODÓ/CAMPUS VII;1175;CODÓ
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS NATURAIS GRAJAÚ/CAMPUS VI;1176;GRAJAÚ
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS NATURAIS PINHEIRO/CCHNST;1170;PINHEIRO
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS NATURAIS SÃO BERNARDO/CSB;1174;SÃO BERNARDO
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM LINGUAGENS E CÓDIGOS SÃO BERNARDO/CSB;1177;SÃO BERNARDO
COORDENAÇÃO DO CURSO DE MATEMÁTICA (EAD)/NEAD;1237;SÃO LUÍS
COORDENAÇÃO DO CURSO DE MATEMÁTICA;1240;SÃO LUÍS
COORDENAÇÃO DO CURSO DE MATEMÁTICA;1388;SÃO LUÍS
COORDENAÇÃO DO CURSO DE MATEMÁTICA GRAJAÚ/CAMPUS VI;1345;GRAJAÚ
COORDENAÇÃO DO CURSO DE MATEMÁTICA/CCET;983;SÃO LUÍS
COORDENAÇÃO DO CURSO DE MEDICINA IMPERATRIZ/CCSST;1327;IMPERATRIZ
COORDENAÇÃO DO CURSO DE MEDICINA PINHEIRO/CCHNST;1326;PINHEIRO
COORDENAÇÃO DO CURSO DE MEDICINA/CCBS;942;SÃO LUÍS
COORDENAÇÃO DO CURSO DE NUTRIÇÃO BACABAL/CAMPUS III;1343;BACABAL
COORDENAÇÃO DO CURSO DE NUTRIÇÃO/CCBS;953;SÃO LUÍS
COORDENAÇÃO DO CURSO DE OCEANOGRAFIA/CCBS;1124;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ODONTOLOGIA/CCBS;938;SÃO LUÍS
COORDENAÇÃO DO CURSO DE PEDAGOGIA (EAD)/NEAD;1238;SÃO LUÍS
COORDENAÇÃO DO CURSO DE PEDAGOGIA;1389;SÃO LUÍS
COORDENAÇÃO DO CURSO DE PEDAGOGIA CODÓ/CAMPUS VII;1366;COORDENAÇÃO DO CURSO DE PEDAGOGIA CODÓ/CAMPUS VII
COORDENAÇÃO DO CURSO DE PEDAGOGIA/CCSO;888;SÃO LUÍS
COORDENAÇÃO DO CURSO DE PEDAGOGIA/CCSST;1009;IMPERATRIZ
COORDENAÇÃO DO CURSO DE PSICOLOGIA/CCH;874;SÃO LUÍS
COORDENAÇÃO DO CURSO DE QUÍMICA (EAD)/NEAD;1235;SÃO LUÍS
COORDENAÇÃO DO CURSO DE QUÍMICA INDUSTRIAL/CCET;985;SÃO LUÍS
COORDENAÇÃO DO CURSO DE QUÍMICA LICENCIATURA/CCET;988;SÃO LUÍS
COORDENAÇÃO DO CURSO DE SERVIÇO SOCIAL/CCSO;884;SÃO LUÍS
COORDENAÇÃO DO CURSO DE TEATRO (EAD)/NEAD;821;SÃO LUÍS
COORDENAÇÃO DO CURSO DE TURISMO SÃO BERNARDO/CSB;1352;SÃO BERNARDO
COORDENAÇÃO DO CURSO DE TURISMO/CCSO;901;SÃO LUÍS
COORDENAÇÃO DO CURSO ENGENHARIA DE ALIMENTOS/CCSST;1017;IMPERATRIZ
COORDENAÇÃO DO CURSO MÚSICA LICENCIATURA/CCH;854;SÃO LUÍS
COORDENAÇÃO DO CURSO TÉCNICO EM ENFERMAGEM;1214;SÃO LUÍS
COORDENAÇÃO DO CURSO TÉCNICO EM MEIO AMBIENTE;1215;SÃO LUÍS
COORDENAÇÃO DO MINTER EM PSICOLOGIA/CCH;832;SÃO LUÍS
COORDENAÇÃO LICENCIATURA EM EDUCAÇÃO DO CAMPO;898;BACABAL
COORDENAÇÃO MESTRADO EM EDUCAÇÃO-IMPERATRIZ;896;SÃO LUÍS
COORDENAÇÃO MINTER EM CIÊNCIAS DA INFORMAÇÃO/CCSO;860;SÃO LUÍS
DEPARTAMENTO  DE BIBLIOTECONOMIA/CCSO;871;SÃO LUÍS
DEPARTAMENTO  DE CIÊNCIAS FISIOLÓGICAS/CCBS;948;SÃO LUÍS
DEPARTAMENTO  DE ENGENHARIA DA ELETRICIDADE/CCET;1051;SÃO LUÍS
DEPARTAMENTO DE ARTES/CCH;851;SÃO LUÍS
DEPARTAMENTO DE BIOLOGIA/CCBS;949;SÃO LUÍS
DEPARTAMENTO DE CIENCIAS CONTÁBEIS E ADMINISTRAÇÃO/CCSO;902;SÃO LUÍS
COORDENACAO DO CURSO DE CIENCIAS SOCIAS;1187;SÃO LUÍS
COORDENACAO DO CURSO DE DIREITO/CCSST;1010;IMPERATRIZ
COORDENACAO DO CURSO DE EDUCACAO FISICA;1186;SÃO LUÍS
COORDENACAO DO CURSO DE EDUCAÇÃO FÍSICA BACHARELADO/DCCBS;1374;SÃO LUÍS
COORDENACAO DO CURSO DE ENGENHARIA CIVIL/DCCET;1394;SÃO LUÍS
COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET;1396;SÃO LUÍS
