MARIA LUIZA LOPES DE OLIVEIRA SANTOS;"";"";COORDENACAO DO CURSO DE ENGENHARIA CIVIL/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=1818593;;1818593;1818593;1394
MIKHAIL LUCZYNSKI;"";"";COORDENACAO DO CURSO DE ENGENHARIA CIVIL/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=2326807;;2326807;2326807;1394
RAFAEL SANTOS DE MORAES;"";"";COORDENACAO DO CURSO DE ENGENHARIA CIVIL/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=2262783;;2262783;2262783;1394
RODRIGO DA CRUZ DE ARAÚJO;"";"";COORDENACAO DO CURSO DE ENGENHARIA CIVIL/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=1642966;;1642966;1642966;1394
WALLACE MAIA DE SOUZA;"";"-Mestrado em Engenharia Civil (Conceito CAPES 4). Universidade Federal do Pará, UFPA, Brasil. - Graduação em Engenharia Civil. Universidade Federal do Pará, UFPA, Brasil.";COORDENACAO DO CURSO DE ENGENHARIA CIVIL/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=1211051;http://lattes.cnpq.br/0707587601316632;1211051;1211051;1394
ALEX OLIVEIRA BARRADAS FILHO;"";"";COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=2257735;;2257735;2257735;1396
BRUNO FERES DE SOUZA;"";"";COORDENAÇÃO DE SERVIÇOS TECNOLÓGICOS E DE INOVAÇÃO/PPPG;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=2019434;;2019434;2019434;
DAVI VIANA DOS SANTOS;"Engenharia de SoftwareQualidade de SoftwareEngenharia de Software Experimental";"Doutorado em Informática pela Universidade Federal do Amazonas";COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=1930277;http://lattes.cnpq.br/9297257833779277;1930277;1930277;1396
DENISSON QUEIROZ OLIVEIRA;"Estabilidade de sistemas elétricos de potência; Sistemas elétricos inteligentes; Aplicações inteligentes em sistemas de potência; Energias renováveis; Veículos elétricos.";"Graduação em Engenharia Elétrica pela Universidade Federal do Maranhão, em 2009. Mestrado em Engenharia Elétrica pela Universidade Federal de Itajubá, em 2012. Doutorado em Engenharia Elétrica pela Universidade Federal de Itajubá, em 2015. Atualmente professor adjunto da Universidade Federal do Maranhão.";COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=2263570;http://lattes.cnpq.br/6282010489262947;2263570;2263570;1396
INALDO CAPISTRANO COSTA;"* Engenharia de Software* Sistemas baseados em Serviços* Sistemas embarcados* Gerência de ProjetosParticipante do Grupo de Pesquisa INOVA, BICT, UFMA.";"- Doutor em Ciências - Engenharia Eletrônica e Computação, Instituto Tecnológico de Aeronáutica - ITA (2016).- Mestre em Ciências - Engenharia Eletrônica e Computação, Instituto Tecnológico de Aeronáutica - ITA (2007).- Graduado em Engenharia Civil, Universidade de Fortaleza - UNIFOR (1989).- Certificado em Gerenciamento de Projetos (PMP) pelo Project Management Institute - PMI (Cetificado em 2003 com validade renovada até 2019).";COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=1657792;http://lattes.cnpq.br/1038614501538551;1657792;1657792;1396
LUIS CLAUDIO DE OLIVEIRA SILVA;"";"";COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=2048399;;2048399;2048399;1396
LUIZ HENRIQUE NEVES RODRIGUES;"";"";COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=3190508;;3190508;3190508;1396
MARCIO MENDES CERQUEIRA;"";"";COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=2747688;http://lattes.cnpq.br/7935229115692221;2747688;2747688;1396
PAULO ROGERIO DE ALMEIDA RIBEIRO;"Experiência na área de Ciência da Computação com ênfase em Inteligência Computacional e Robótica, atuando principalmente nos seguintes temas: Robótica Móvel e Autônoma, Análise e Processamento de Dados e Sinais, Aprendizado de Máquina, Automação e Controle de Processos, Visão Computacional e Otimização. Também desenvolve projetos em Neurociência Computacional e Brain Computer-Interface (BCI).";"Doutor em Neurociência (Neuroinformática / Neurociência Computacional) pela Universidade de Tübingen (Alemanha) & International Max Planck Research School for Cognitive and Systems Neuroscience (International Max Planck Research School for Neural Information Processing), mestre em Engenharia Mecatrônica pela Universidade do Minho (Portugal) e bacharel em Ciência da Computação pela Universidade Federal do Maranhão (UFMA) - Brasil.";COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET;https://sigaa.ufma.br/sigaa/public/docente/portal.jsf?siape=2319041;http://lattes.cnpq.br/0035213619257246;2319041;2319041;1396
