Centro de Ciências Exatas e Tecnologia;CCET;RIDVAN NUNES FERNANDES;407265;Nenhum conteúdo disponível até o momento;966;https://sigaa.ufma.br/sigaa/public/centro/portal.jsf?lc=pt_BR&id=966
Centro de Ciências Biológicas e da Saúde;CCBS;ROSANE NASSAR MEIRELES GUERRA LIBERIO;306484;Nenhum conteúdo disponível até o momento;904;https://sigaa.ufma.br/sigaa/public/centro/portal.jsf?lc=pt_BR&id=904
Centro de Ciências Sociais;CCSO;LINDALVA MARTINS MAIA MACIEL;407645;;857;https://sigaa.ufma.br/sigaa/public/centro/portal.jsf?lc=pt_BR&id=857
Centro de Ciências Humanas;CCH;FRANCISCO DE JESUS SILVA DE SOUSA;6844105;Nenhum conteúdo disponível até o momento;828;https://sigaa.ufma.br/sigaa/public/centro/portal.jsf?lc=pt_BR&id=828
Centro de Ciências Sociais, Saúde e Tecnologia;CCSST;;;;;
Centro de Ciências Agrárias e Ambientais;CCAA;;;;1156;https://sigaa.ufma.br/sigaa/public/programa/apresentacao.jsf?lc=pt_BR&id=1156
;CCHNST (PINHEIRO);RICKLEY LEANDRO MARQUES;1525392;Nenhum conteúdo disponível até o momento;1393;https://sigaa.ufma.br/sigaa/public/centro/portal.jsf?lc=pt_BR&id=1393
